period_date,year,period,period_abbr,value,industry_text,dataelement_code,dataelement_text,ratelevel_code
4/1/2019,2019,M04,APR,20,Construction,OS,Other separations,L
4/1/2020,2020,M04,APR,17,Construction,OS,Other separations,L
4/1/2021,2021,M04,APR,14,Construction,OS,Other separations,L
4/1/2019,2019,M04,APR,0.3,Construction,OS,Other separations,R
4/1/2020,2020,M04,APR,0.3,Construction,OS,Other separations,R
4/1/2021,2021,M04,APR,0.2,Construction,OS,Other separations,R
4/1/2019,2019,M04,APR,143,Construction,QU,Quits,L
4/1/2020,2020,M04,APR,89,Construction,QU,Quits,L
4/1/2021,2021,M04,APR,176,Construction,QU,Quits,L
4/1/2019,2019,M04,APR,1.9,Construction,QU,Quits,R
4/1/2020,2020,M04,APR,1.4,Construction,QU,Quits,R
4/1/2021,2021,M04,APR,2.4,Construction,QU,Quits,R
4/1/2019,2019,M04,APR,397,Construction,TS,Total separations,L
4/1/2020,2020,M04,APR,820,Construction,TS,Total separations,L
4/1/2021,2021,M04,APR,349,Construction,TS,Total separations,L
4/1/2019,2019,M04,APR,5.3,Construction,TS,Total separations,R
4/1/2020,2020,M04,APR,12.6,Construction,TS,Total separations,R
4/1/2021,2021,M04,APR,4.7,Construction,TS,Total separations,R
4/1/2019,2019,M04,APR,359,Manufacturing,HI,Hires,L
4/1/2020,2020,M04,APR,350,Manufacturing,HI,Hires,L
4/1/2021,2021,M04,APR,399,Manufacturing,HI,Hires,L
4/1/2019,2019,M04,APR,2.8,Manufacturing,HI,Hires,R
4/1/2020,2020,M04,APR,3.1,Manufacturing,HI,Hires,R
4/1/2021,2021,M04,APR,3.3,Manufacturing,HI,Hires,R
4/1/2019,2019,M04,APR,463,Manufacturing,JO,Job openings,L
4/1/2020,2020,M04,APR,279,Manufacturing,JO,Job openings,L
4/1/2021,2021,M04,APR,825,Manufacturing,JO,Job openings,L
4/1/2019,2019,M04,APR,3.5,Manufacturing,JO,Job openings,R
4/1/2020,2020,M04,APR,2.4,Manufacturing,JO,Job openings,R
4/1/2021,2021,M04,APR,6.3,Manufacturing,JO,Job openings,R
4/1/2019,2019,M04,APR,114,Manufacturing,LD,Layoffs and discharges,L
4/1/2020,2020,M04,APR,724,Manufacturing,LD,Layoffs and discharges,L
4/1/2021,2021,M04,APR,112,Manufacturing,LD,Layoffs and discharges,L
4/1/2019,2019,M04,APR,0.9,Manufacturing,LD,Layoffs and discharges,R
4/1/2020,2020,M04,APR,6.3,Manufacturing,LD,Layoffs and discharges,R
4/1/2021,2021,M04,APR,0.9,Manufacturing,LD,Layoffs and discharges,R
4/1/2019,2019,M04,APR,19,Manufacturing,OS,Other separations,L
4/1/2020,2020,M04,APR,23,Manufacturing,OS,Other separations,L
4/1/2021,2021,M04,APR,28,Manufacturing,OS,Other separations,L
4/1/2019,2019,M04,APR,0.1,Manufacturing,OS,Other separations,R
4/1/2020,2020,M04,APR,0.2,Manufacturing,OS,Other separations,R
4/1/2021,2021,M04,APR,0.2,Manufacturing,OS,Other separations,R
4/1/2019,2019,M04,APR,225,Manufacturing,QU,Quits,L
4/1/2020,2020,M04,APR,109,Manufacturing,QU,Quits,L
4/1/2021,2021,M04,APR,286,Manufacturing,QU,Quits,L
4/1/2019,2019,M04,APR,1.8,Manufacturing,QU,Quits,R
4/1/2020,2020,M04,APR,1,Manufacturing,QU,Quits,R
4/1/2021,2021,M04,APR,2.3,Manufacturing,QU,Quits,R
4/1/2019,2019,M04,APR,357,Manufacturing,TS,Total separations,L
4/1/2020,2020,M04,APR,856,Manufacturing,TS,Total separations,L
4/1/2021,2021,M04,APR,427,Manufacturing,TS,Total separations,L
4/1/2019,2019,M04,APR,2.8,Manufacturing,TS,Total separations,R
4/1/2020,2020,M04,APR,7.5,Manufacturing,TS,Total separations,R
4/1/2021,2021,M04,APR,3.5,Manufacturing,TS,Total separations,R
4/1/2019,2019,M04,APR,207,Durable goods manufacturing,HI,Hires,L
4/1/2020,2020,M04,APR,201,Durable goods manufacturing,HI,Hires,L
4/1/2021,2021,M04,APR,216,Durable goods manufacturing,HI,Hires,L
4/1/2019,2019,M04,APR,2.6,Durable goods manufacturing,HI,Hires,R
4/1/2020,2020,M04,APR,2.9,Durable goods manufacturing,HI,Hires,R
4/1/2021,2021,M04,APR,2.8,Durable goods manufacturing,HI,Hires,R
4/1/2019,2019,M04,APR,292,Durable goods manufacturing,JO,Job openings,L
4/1/2020,2020,M04,APR,148,Durable goods manufacturing,JO,Job openings,L
4/1/2021,2021,M04,APR,462,Durable goods manufacturing,JO,Job openings,L
4/1/2019,2019,M04,APR,3.5,Durable goods manufacturing,JO,Job openings,R
4/1/2020,2020,M04,APR,2.1,Durable goods manufacturing,JO,Job openings,R
4/1/2021,2021,M04,APR,5.7,Durable goods manufacturing,JO,Job openings,R
4/1/2019,2019,M04,APR,65,Durable goods manufacturing,LD,Layoffs and discharges,L
4/1/2020,2020,M04,APR,483,Durable goods manufacturing,LD,Layoffs and discharges,L
4/1/2021,2021,M04,APR,65,Durable goods manufacturing,LD,Layoffs and discharges,L
4/1/2019,2019,M04,APR,0.8,Durable goods manufacturing,LD,Layoffs and discharges,R
4/1/2020,2020,M04,APR,6.8,Durable goods manufacturing,LD,Layoffs and discharges,R
4/1/2021,2021,M04,APR,0.9,Durable goods manufacturing,LD,Layoffs and discharges,R
4/1/2019,2019,M04,APR,10,Durable goods manufacturing,OS,Other separations,L
4/1/2020,2020,M04,APR,14,Durable goods manufacturing,OS,Other separations,L
4/1/2021,2021,M04,APR,21,Durable goods manufacturing,OS,Other separations,L
4/1/2019,2019,M04,APR,0.1,Durable goods manufacturing,OS,Other separations,R
4/1/2020,2020,M04,APR,0.2,Durable goods manufacturing,OS,Other separations,R
4/1/2021,2021,M04,APR,0.3,Durable goods manufacturing,OS,Other separations,R
4/1/2019,2019,M04,APR,1306,Total nonfarm,HI,Hires,L
4/1/2020,2020,M04,APR,923,Total nonfarm,HI,Hires,L
4/1/2021,2021,M04,APR,1290,Total nonfarm,HI,Hires,L
4/1/2019,2019,M04,APR,4,Total nonfarm,HI,Hires,R
4/1/2020,2020,M04,APR,3.3,Total nonfarm,HI,Hires,R
4/1/2021,2021,M04,APR,4.1,Total nonfarm,HI,Hires,R
4/1/2019,2019,M04,APR,1718,Total nonfarm,JO,Job openings,L
4/1/2020,2020,M04,APR,977,Total nonfarm,JO,Job openings,L
4/1/2021,2021,M04,APR,2069,Total nonfarm,JO,Job openings,L
4/1/2019,2019,M04,APR,5,Total nonfarm,JO,Job openings,R
4/1/2020,2020,M04,APR,3.4,Total nonfarm,JO,Job openings,R
4/1/2021,2021,M04,APR,6.2,Total nonfarm,JO,Job openings,R
4/1/2019,2019,M04,APR,388,Total nonfarm,LD,Layoffs and discharges,L
4/1/2020,2020,M04,APR,1985,Total nonfarm,LD,Layoffs and discharges,L
4/1/2021,2021,M04,APR,321,Total nonfarm,LD,Layoffs and discharges,L
4/1/2019,2019,M04,APR,1.2,Total nonfarm,LD,Layoffs and discharges,R
4/1/2020,2020,M04,APR,7,Total nonfarm,LD,Layoffs and discharges,R
4/1/2021,2021,M04,APR,1,Total nonfarm,LD,Layoffs and discharges,R
4/1/2019,2019,M04,APR,62,Total nonfarm,OS,Other separations,L
4/1/2020,2020,M04,APR,105,Total nonfarm,OS,Other separations,L
4/1/2021,2021,M04,APR,74,Total nonfarm,OS,Other separations,L
4/1/2019,2019,M04,APR,0.2,Total nonfarm,OS,Other separations,R
4/1/2020,2020,M04,APR,0.4,Total nonfarm,OS,Other separations,R
4/1/2021,2021,M04,APR,0.2,Total nonfarm,OS,Other separations,R
4/1/2019,2019,M04,APR,777,Total nonfarm,QU,Quits,L
4/1/2020,2020,M04,APR,472,Total nonfarm,QU,Quits,L
4/1/2021,2021,M04,APR,873,Total nonfarm,QU,Quits,L
4/1/2019,2019,M04,APR,2.4,Total nonfarm,QU,Quits,R
4/1/2020,2020,M04,APR,1.7,Total nonfarm,QU,Quits,R
4/1/2021,2021,M04,APR,2.8,Total nonfarm,QU,Quits,R
4/1/2019,2019,M04,APR,1227,Total nonfarm,TS,Total separations,L
4/1/2020,2020,M04,APR,2563,Total nonfarm,TS,Total separations,L
4/1/2021,2021,M04,APR,1268,Total nonfarm,TS,Total separations,L
4/1/2019,2019,M04,APR,3.8,Total nonfarm,TS,Total separations,R
4/1/2020,2020,M04,APR,9.1,Total nonfarm,TS,Total separations,R
4/1/2021,2021,M04,APR,4.1,Total nonfarm,TS,Total separations,R
4/1/2019,2019,M04,APR,938,Total nonfarm,HI,Hires,L
4/1/2020,2020,M04,APR,558,Total nonfarm,HI,Hires,L
4/1/2021,2021,M04,APR,961,Total nonfarm,HI,Hires,L
4/1/2019,2019,M04,APR,3.4,Total nonfarm,HI,Hires,R
4/1/2020,2020,M04,APR,2.4,Total nonfarm,HI,Hires,R
4/1/2021,2021,M04,APR,3.7,Total nonfarm,HI,Hires,R
4/1/2019,2019,M04,APR,1130,Total nonfarm,JO,Job openings,L
4/1/2020,2020,M04,APR,862,Total nonfarm,JO,Job openings,L
4/1/2021,2021,M04,APR,1645,Total nonfarm,JO,Job openings,L
4/1/2019,2019,M04,APR,4,Total nonfarm,JO,Job openings,R
4/1/2020,2020,M04,APR,3.5,Total nonfarm,JO,Job openings,R
4/1/2021,2021,M04,APR,5.9,Total nonfarm,JO,Job openings,R
4/1/2019,2019,M04,APR,341,Total nonfarm,LD,Layoffs and discharges,L
4/1/2020,2020,M04,APR,1912,Total nonfarm,LD,Layoffs and discharges,L
4/1/2021,2021,M04,APR,269,Total nonfarm,LD,Layoffs and discharges,L
4/1/2019,2019,M04,APR,1.2,Total nonfarm,LD,Layoffs and discharges,R
4/1/2020,2020,M04,APR,8.1,Total nonfarm,LD,Layoffs and discharges,R
4/1/2021,2021,M04,APR,1,Total nonfarm,LD,Layoffs and discharges,R
4/1/2019,2019,M04,APR,47,Total nonfarm,OS,Other separations,L
4/1/2020,2020,M04,APR,56,Total nonfarm,OS,Other separations,L
4/1/2021,2021,M04,APR,62,Total nonfarm,OS,Other separations,L
4/1/2019,2019,M04,APR,0.2,Total nonfarm,OS,Other separations,R
4/1/2020,2020,M04,APR,0.2,Total nonfarm,OS,Other separations,R
4/1/2021,2021,M04,APR,0.2,Total nonfarm,OS,Other separations,R
4/1/2019,2019,M04,APR,442,Total nonfarm,QU,Quits,L
4/1/2020,2020,M04,APR,308,Total nonfarm,QU,Quits,L
4/1/2021,2021,M04,APR,507,Total nonfarm,QU,Quits,L
4/1/2019,2019,M04,APR,1.6,Total nonfarm,QU,Quits,R
4/1/2020,2020,M04,APR,1.3,Total nonfarm,QU,Quits,R
4/1/2021,2021,M04,APR,1.9,Total nonfarm,QU,Quits,R
4/1/2019,2019,M04,APR,829,Total nonfarm,TS,Total separations,L
4/1/2020,2020,M04,APR,2276,Total nonfarm,TS,Total separations,L
4/1/2021,2021,M04,APR,838,Total nonfarm,TS,Total separations,L
4/1/2019,2019,M04,APR,3,Total nonfarm,TS,Total separations,R
4/1/2020,2020,M04,APR,9.6,Total nonfarm,TS,Total separations,R
4/1/2021,2021,M04,APR,3.2,Total nonfarm,TS,Total separations,R
4/1/2019,2019,M04,APR,2375,Total nonfarm,HI,Hires,L
4/1/2020,2020,M04,APR,1487,Total nonfarm,HI,Hires,L
4/1/2021,2021,M04,APR,2359,Total nonfarm,HI,Hires,L
4/1/2019,2019,M04,APR,4.3,Total nonfarm,HI,Hires,R
4/1/2020,2020,M04,APR,3.1,Total nonfarm,HI,Hires,R
4/1/2021,2021,M04,APR,4.5,Total nonfarm,HI,Hires,R
4/1/2019,2019,M04,APR,2730,Total nonfarm,JO,Job openings,L
4/1/2020,2020,M04,APR,1749,Total nonfarm,JO,Job openings,L
4/1/2021,2021,M04,APR,3509,Total nonfarm,JO,Job openings,L
4/1/2019,2019,M04,APR,4.7,Total nonfarm,JO,Job openings,R
4/1/2020,2020,M04,APR,3.5,Total nonfarm,JO,Job openings,R
4/1/2021,2021,M04,APR,6.2,Total nonfarm,JO,Job openings,R
4/1/2019,2019,M04,APR,743,Total nonfarm,LD,Layoffs and discharges,L
4/1/2020,2020,M04,APR,2906,Total nonfarm,LD,Layoffs and discharges,L
4/1/2021,2021,M04,APR,519,Total nonfarm,LD,Layoffs and discharges,L
4/1/2019,2019,M04,APR,1.3,Total nonfarm,LD,Layoffs and discharges,R
4/1/2020,2020,M04,APR,6.1,Total nonfarm,LD,Layoffs and discharges,R
4/1/2021,2021,M04,APR,1,Total nonfarm,LD,Layoffs and discharges,R
4/1/2019,2019,M04,APR,119,Total nonfarm,OS,Other separations,L
4/1/2020,2020,M04,APR,116,Total nonfarm,OS,Other separations,L
4/1/2021,2021,M04,APR,135,Total nonfarm,OS,Other separations,L
4/1/2019,2019,M04,APR,0.2,Total nonfarm,OS,Other separations,R
4/1/2020,2020,M04,APR,0.2,Total nonfarm,OS,Other separations,R
4/1/2021,2021,M04,APR,0.3,Total nonfarm,OS,Other separations,R
4/1/2019,2019,M04,APR,1459,Total nonfarm,QU,Quits,L
4/1/2020,2020,M04,APR,879,Total nonfarm,QU,Quits,L
4/1/2021,2021,M04,APR,1696,Total nonfarm,QU,Quits,L
4/1/2019,2019,M04,APR,2.6,Total nonfarm,QU,Quits,R
4/1/2020,2020,M04,APR,1.8,Total nonfarm,QU,Quits,R
4/1/2021,2021,M04,APR,3.2,Total nonfarm,QU,Quits,R
4/1/2019,2019,M04,APR,2321,Total nonfarm,TS,Total separations,L
4/1/2020,2020,M04,APR,3901,Total nonfarm,TS,Total separations,L
4/1/2021,2021,M04,APR,2350,Total nonfarm,TS,Total separations,L
4/1/2019,2019,M04,APR,4.2,Total nonfarm,TS,Total separations,R
4/1/2020,2020,M04,APR,8.2,Total nonfarm,TS,Total separations,R
4/1/2021,2021,M04,APR,4.4,Total nonfarm,TS,Total separations,R
4/1/2019,2019,M04,APR,1432,Total nonfarm,HI,Hires,L
4/1/2020,2020,M04,APR,975,Total nonfarm,HI,Hires,L
4/1/2021,2021,M04,APR,1401,Total nonfarm,HI,Hires,L
4/1/2019,2019,M04,APR,4.1,Total nonfarm,HI,Hires,R
4/1/2020,2020,M04,APR,3.2,Total nonfarm,HI,Hires,R
4/1/2021,2021,M04,APR,4.1,Total nonfarm,HI,Hires,R
4/1/2019,2019,M04,APR,1679,Total nonfarm,JO,Job openings,L
4/1/2020,2020,M04,APR,1042,Total nonfarm,JO,Job openings,L
4/1/2021,2021,M04,APR,1970,Total nonfarm,JO,Job openings,L
4/1/2019,2019,M04,APR,4.5,Total nonfarm,JO,Job openings,R
4/1/2020,2020,M04,APR,3.3,Total nonfarm,JO,Job openings,R
4/1/2021,2021,M04,APR,5.5,Total nonfarm,JO,Job openings,R
4/1/2019,2019,M04,APR,483,Total nonfarm,LD,Layoffs and discharges,L
4/1/2020,2020,M04,APR,2504,Total nonfarm,LD,Layoffs and discharges,L
4/1/2021,2021,M04,APR,341,Total nonfarm,LD,Layoffs and discharges,L
4/1/2019,2019,M04,APR,1.4,Total nonfarm,LD,Layoffs and discharges,R
4/1/2020,2020,M04,APR,8.2,Total nonfarm,LD,Layoffs and discharges,R
4/1/2021,2021,M04,APR,1,Total nonfarm,LD,Layoffs and discharges,R
4/1/2019,2019,M04,APR,85,Total nonfarm,OS,Other separations,L
4/1/2020,2020,M04,APR,91,Total nonfarm,OS,Other separations,L
4/1/2021,2021,M04,APR,90,Total nonfarm,OS,Other separations,L
4/1/2019,2019,M04,APR,0.2,Total nonfarm,OS,Other separations,R
4/1/2020,2020,M04,APR,0.3,Total nonfarm,OS,Other separations,R
4/1/2021,2021,M04,APR,0.3,Total nonfarm,OS,Other separations,R
4/1/2019,2019,M04,APR,816,Total nonfarm,QU,Quits,L
4/1/2020,2020,M04,APR,447,Total nonfarm,QU,Quits,L
4/1/2021,2021,M04,APR,916,Total nonfarm,QU,Quits,L
4/1/2019,2019,M04,APR,2.3,Total nonfarm,QU,Quits,R
4/1/2020,2020,M04,APR,1.5,Total nonfarm,QU,Quits,R
4/1/2021,2021,M04,APR,2.7,Total nonfarm,QU,Quits,R
4/1/2019,2019,M04,APR,1384,Total nonfarm,TS,Total separations,L
4/1/2020,2020,M04,APR,3042,Total nonfarm,TS,Total separations,L
4/1/2021,2021,M04,APR,1347,Total nonfarm,TS,Total separations,L
4/1/2019,2019,M04,APR,3.9,Total nonfarm,TS,Total separations,R
4/1/2020,2020,M04,APR,10,Total nonfarm,TS,Total separations,R
4/1/2021,2021,M04,APR,4,Total nonfarm,TS,Total separations,R
4/1/2019,2019,M04,APR,131,Durable goods manufacturing,QU,Quits,L
4/1/2020,2020,M04,APR,45,Durable goods manufacturing,QU,Quits,L
4/1/2021,2021,M04,APR,155,Durable goods manufacturing,QU,Quits,L
4/1/2019,2019,M04,APR,1.6,Durable goods manufacturing,QU,Quits,R
4/1/2020,2020,M04,APR,0.6,Durable goods manufacturing,QU,Quits,R
4/1/2021,2021,M04,APR,2,Durable goods manufacturing,QU,Quits,R
4/1/2019,2019,M04,APR,206,Durable goods manufacturing,TS,Total separations,L
4/1/2020,2020,M04,APR,542,Durable goods manufacturing,TS,Total separations,L
4/1/2021,2021,M04,APR,240,Durable goods manufacturing,TS,Total separations,L
4/1/2019,2019,M04,APR,2.6,Durable goods manufacturing,TS,Total separations,R
4/1/2020,2020,M04,APR,7.7,Durable goods manufacturing,TS,Total separations,R
4/1/2021,2021,M04,APR,3.2,Durable goods manufacturing,TS,Total separations,R
4/1/2019,2019,M04,APR,152,Nondurable goods manufacturing,HI,Hires,L
4/1/2020,2020,M04,APR,149,Nondurable goods manufacturing,HI,Hires,L
4/1/2021,2021,M04,APR,183,Nondurable goods manufacturing,HI,Hires,L
4/1/2019,2019,M04,APR,3.2,Nondurable goods manufacturing,HI,Hires,R
4/1/2020,2020,M04,APR,3.4,Nondurable goods manufacturing,HI,Hires,R
4/1/2021,2021,M04,APR,3.9,Nondurable goods manufacturing,HI,Hires,R
4/1/2019,2019,M04,APR,171,Nondurable goods manufacturing,JO,Job openings,L
4/1/2020,2020,M04,APR,131,Nondurable goods manufacturing,JO,Job openings,L
4/1/2021,2021,M04,APR,364,Nondurable goods manufacturing,JO,Job openings,L
4/1/2019,2019,M04,APR,3.5,Nondurable goods manufacturing,JO,Job openings,R
4/1/2020,2020,M04,APR,2.9,Nondurable goods manufacturing,JO,Job openings,R
4/1/2021,2021,M04,APR,7.2,Nondurable goods manufacturing,JO,Job openings,R
4/1/2019,2019,M04,APR,49,Nondurable goods manufacturing,LD,Layoffs and discharges,L
4/1/2020,2020,M04,APR,242,Nondurable goods manufacturing,LD,Layoffs and discharges,L
4/1/2021,2021,M04,APR,47,Nondurable goods manufacturing,LD,Layoffs and discharges,L
4/1/2019,2019,M04,APR,1,Nondurable goods manufacturing,LD,Layoffs and discharges,R
4/1/2020,2020,M04,APR,5.6,Nondurable goods manufacturing,LD,Layoffs and discharges,R
4/1/2021,2021,M04,APR,1,Nondurable goods manufacturing,LD,Layoffs and discharges,R
4/1/2019,2019,M04,APR,8,Nondurable goods manufacturing,OS,Other separations,L
4/1/2020,2020,M04,APR,8,Nondurable goods manufacturing,OS,Other separations,L
4/1/2021,2021,M04,APR,8,Nondurable goods manufacturing,OS,Other separations,L
4/1/2019,2019,M04,APR,0.2,Nondurable goods manufacturing,OS,Other separations,R
4/1/2020,2020,M04,APR,0.2,Nondurable goods manufacturing,OS,Other separations,R
4/1/2021,2021,M04,APR,0.2,Nondurable goods manufacturing,OS,Other separations,R
4/1/2019,2019,M04,APR,94,Nondurable goods manufacturing,QU,Quits,L
4/1/2020,2020,M04,APR,64,Nondurable goods manufacturing,QU,Quits,L
4/1/2021,2021,M04,APR,132,Nondurable goods manufacturing,QU,Quits,L
4/1/2019,2019,M04,APR,2,Nondurable goods manufacturing,QU,Quits,R
4/1/2020,2020,M04,APR,1.5,Nondurable goods manufacturing,QU,Quits,R
4/1/2021,2021,M04,APR,2.8,Nondurable goods manufacturing,QU,Quits,R
4/1/2019,2019,M04,APR,151,Nondurable goods manufacturing,TS,Total separations,L
4/1/2020,2020,M04,APR,314,Nondurable goods manufacturing,TS,Total separations,L
4/1/2021,2021,M04,APR,187,Nondurable goods manufacturing,TS,Total separations,L
4/1/2019,2019,M04,APR,3.2,Nondurable goods manufacturing,TS,Total separations,R
4/1/2020,2020,M04,APR,7.2,Nondurable goods manufacturing,TS,Total separations,R
4/1/2021,2021,M04,APR,4,Nondurable goods manufacturing,TS,Total separations,R
4/1/2019,2019,M04,APR,1138,"Trade, transportation, and utilities",HI,Hires,L
4/1/2020,2020,M04,APR,1048,"Trade, transportation, and utilities",HI,Hires,L
4/1/2021,2021,M04,APR,1210,"Trade, transportation, and utilities",HI,Hires,L
4/1/2019,2019,M04,APR,4.1,"Trade, transportation, and utilities",HI,Hires,R
4/1/2020,2020,M04,APR,4.3,"Trade, transportation, and utilities",HI,Hires,R
4/1/2021,2021,M04,APR,4.5,"Trade, transportation, and utilities",HI,Hires,R
4/1/2019,2019,M04,APR,1364,"Trade, transportation, and utilities",JO,Job openings,L
4/1/2020,2020,M04,APR,851,"Trade, transportation, and utilities",JO,Job openings,L
4/1/2021,2021,M04,APR,1644,"Trade, transportation, and utilities",JO,Job openings,L
4/1/2019,2019,M04,APR,4.7,"Trade, transportation, and utilities",JO,Job openings,R
4/1/2020,2020,M04,APR,3.4,"Trade, transportation, and utilities",JO,Job openings,R
4/1/2021,2021,M04,APR,5.7,"Trade, transportation, and utilities",JO,Job openings,R
4/1/2019,2019,M04,APR,351,"Trade, transportation, and utilities",LD,Layoffs and discharges,L
4/1/2020,2020,M04,APR,1693,"Trade, transportation, and utilities",LD,Layoffs and discharges,L
4/1/2021,2021,M04,APR,278,"Trade, transportation, and utilities",LD,Layoffs and discharges,L
4/1/2019,2019,M04,APR,1.3,"Trade, transportation, and utilities",LD,Layoffs and discharges,R
4/1/2020,2020,M04,APR,6.9,"Trade, transportation, and utilities",LD,Layoffs and discharges,R
4/1/2021,2021,M04,APR,1,"Trade, transportation, and utilities",LD,Layoffs and discharges,R
4/1/2019,2019,M04,APR,40,"Trade, transportation, and utilities",OS,Other separations,L
4/1/2020,2020,M04,APR,37,"Trade, transportation, and utilities",OS,Other separations,L
4/1/2021,2021,M04,APR,88,"Trade, transportation, and utilities",OS,Other separations,L
4/1/2019,2019,M04,APR,0.1,"Trade, transportation, and utilities",OS,Other separations,R
4/1/2020,2020,M04,APR,0.2,"Trade, transportation, and utilities",OS,Other separations,R
4/1/2021,2021,M04,APR,0.3,"Trade, transportation, and utilities",OS,Other separations,R
4/1/2019,2019,M04,APR,734,"Trade, transportation, and utilities",QU,Quits,L
4/1/2020,2020,M04,APR,444,"Trade, transportation, and utilities",QU,Quits,L
4/1/2021,2021,M04,APR,947,"Trade, transportation, and utilities",QU,Quits,L
4/1/2019,2019,M04,APR,2.7,"Trade, transportation, and utilities",QU,Quits,R
4/1/2020,2020,M04,APR,1.8,"Trade, transportation, and utilities",QU,Quits,R
4/1/2021,2021,M04,APR,3.5,"Trade, transportation, and utilities",QU,Quits,R
4/1/2019,2019,M04,APR,1125,"Trade, transportation, and utilities",TS,Total separations,L
4/1/2020,2020,M04,APR,2174,"Trade, transportation, and utilities",TS,Total separations,L
4/1/2021,2021,M04,APR,1313,"Trade, transportation, and utilities",TS,Total separations,L
4/1/2019,2019,M04,APR,4.1,"Trade, transportation, and utilities",TS,Total separations,R
4/1/2020,2020,M04,APR,8.9,"Trade, transportation, and utilities",TS,Total separations,R
4/1/2021,2021,M04,APR,4.8,"Trade, transportation, and utilities",TS,Total separations,R
4/1/2019,2019,M04,APR,155,Wholesale trade,HI,Hires,L
4/1/2020,2020,M04,APR,114,Wholesale trade,HI,Hires,L
4/1/2021,2021,M04,APR,170,Wholesale trade,HI,Hires,L
4/1/2019,2019,M04,APR,2.6,Wholesale trade,HI,Hires,R
4/1/2020,2020,M04,APR,2.1,Wholesale trade,HI,Hires,R
4/1/2021,2021,M04,APR,3,Wholesale trade,HI,Hires,R
4/1/2019,2019,M04,APR,267,Wholesale trade,JO,Job openings,L
4/1/2020,2020,M04,APR,159,Wholesale trade,JO,Job openings,L
4/1/2021,2021,M04,APR,285,Wholesale trade,JO,Job openings,L
4/1/2019,2019,M04,APR,4.3,Wholesale trade,JO,Job openings,R
4/1/2020,2020,M04,APR,2.8,Wholesale trade,JO,Job openings,R
4/1/2021,2021,M04,APR,4.8,Wholesale trade,JO,Job openings,R
4/1/2019,2019,M04,APR,45,Wholesale trade,LD,Layoffs and discharges,L
4/1/2020,2020,M04,APR,257,Wholesale trade,LD,Layoffs and discharges,L
4/1/2021,2021,M04,APR,45,Wholesale trade,LD,Layoffs and discharges,L
4/1/2019,2019,M04,APR,0.8,Wholesale trade,LD,Layoffs and discharges,R
4/1/2020,2020,M04,APR,4.7,Wholesale trade,LD,Layoffs and discharges,R
4/1/2021,2021,M04,APR,0.8,Wholesale trade,LD,Layoffs and discharges,R
4/1/2019,2019,M04,APR,6,Wholesale trade,OS,Other separations,L
4/1/2020,2020,M04,APR,3,Wholesale trade,OS,Other separations,L
4/1/2021,2021,M04,APR,12,Wholesale trade,OS,Other separations,L
4/1/2019,2019,M04,APR,0.1,Wholesale trade,OS,Other separations,R
4/1/2020,2020,M04,APR,0.1,Wholesale trade,OS,Other separations,R
4/1/2021,2021,M04,APR,0.2,Wholesale trade,OS,Other separations,R
4/1/2019,2019,M04,APR,96,Wholesale trade,QU,Quits,L
4/1/2020,2020,M04,APR,54,Wholesale trade,QU,Quits,L
4/1/2021,2021,M04,APR,111,Wholesale trade,QU,Quits,L
4/1/2019,2019,M04,APR,1.6,Wholesale trade,QU,Quits,R
4/1/2020,2020,M04,APR,1,Wholesale trade,QU,Quits,R
4/1/2021,2021,M04,APR,2,Wholesale trade,QU,Quits,R
4/1/2019,2019,M04,APR,147,Wholesale trade,TS,Total separations,L
4/1/2020,2020,M04,APR,314,Wholesale trade,TS,Total separations,L
4/1/2021,2021,M04,APR,169,Wholesale trade,TS,Total separations,L
4/1/2019,2019,M04,APR,2.5,Wholesale trade,TS,Total separations,R
4/1/2020,2020,M04,APR,5.7,Wholesale trade,TS,Total separations,R
4/1/2021,2021,M04,APR,3,Wholesale trade,TS,Total separations,R
4/1/2019,2019,M04,APR,737,Retail trade,HI,Hires,L
4/1/2020,2020,M04,APR,726,Retail trade,HI,Hires,L
4/1/2021,2021,M04,APR,793,Retail trade,HI,Hires,L
4/1/2019,2019,M04,APR,4.7,Retail trade,HI,Hires,R
4/1/2020,2020,M04,APR,5.5,Retail trade,HI,Hires,R
4/1/2021,2021,M04,APR,5.2,Retail trade,HI,Hires,R
4/1/2019,2019,M04,APR,757,Retail trade,JO,Job openings,L
4/1/2020,2020,M04,APR,446,Retail trade,JO,Job openings,L
4/1/2021,2021,M04,APR,955,Retail trade,JO,Job openings,L
4/1/2019,2019,M04,APR,4.6,Retail trade,JO,Job openings,R
4/1/2020,2020,M04,APR,3.3,Retail trade,JO,Job openings,R
4/1/2021,2021,M04,APR,5.9,Retail trade,JO,Job openings,R
4/1/2019,2019,M04,APR,223,Retail trade,LD,Layoffs and discharges,L
4/1/2020,2020,M04,APR,1086,Retail trade,LD,Layoffs and discharges,L
4/1/2021,2021,M04,APR,148,Retail trade,LD,Layoffs and discharges,L
4/1/2019,2019,M04,APR,1.4,Retail trade,LD,Layoffs and discharges,R
4/1/2020,2020,M04,APR,8.2,Retail trade,LD,Layoffs and discharges,R
4/1/2021,2021,M04,APR,1,Retail trade,LD,Layoffs and discharges,R
4/1/2019,2019,M04,APR,23,Retail trade,OS,Other separations,L
4/1/2020,2020,M04,APR,16,Retail trade,OS,Other separations,L
